

Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
09/22/2025,"ASSIGNED as of Sep-19-2025 CALL (META) META PLATFORMS INC SEP 19 25 $770 (100 SHS) (Cash)",-META250919C770,"CALL (META) META PLATFORMS INC SEP 19 25 $770 (100 SHS)",Cash,1,,,,,0.00,311384.99,
09/22/2025,"ASSIGNED as of Sep-19-2025 CALL (AMZN) AMAZON.COM INC SEP 19 25 $230 (100 SHS) (Cash)",-AMZN250919C230,"CALL (AMZN) AMAZON.COM INC SEP 19 25 $230 (100 SHS)",Cash,1,,,,,0.00,311384.99,
09/22/2025,"YOU SOLD OPENING TRANSACTION PUT (META) META PLATFORMS INC SEP 26 25 $762.5 (100 SHS) (Cash)",-META250926P762.5,"PUT (META) META PLATFORMS INC SEP 26 25 $762.5 (100 SHS)",Cash,-1,5.3,0.65,0.02,,529.33,311384.99,09/23/2025
09/22/2025,"YOU SOLD OPENING TRANSACTION PUT (ORCL) ORACLE CORP OCT 03 25 $310 (100 SHS) (Cash)",-ORCL251003P310,"PUT (ORCL) ORACLE CORP OCT 03 25 $310 (100 SHS)",Cash,-2,5.44,1.3,0.05,,1086.65,310855.66,09/23/2025
09/22/2025,"YOU BOUGHT CLOSING TRANSACTION PUT (APP) APPLOVIN CORP COM CL SEP 26 25 $600 (100 SHS) (Cash)",-APP250926P600,"PUT (APP) APPLOVIN CORP COM CL SEP 26 25 $600 (100 SHS)",Cash,1,1.85,0.65,0.02,,-185.67,309769.01,09/23/2025
09/22/2025,"YOU SOLD OPENING TRANSACTION PUT (GEV) GE VERNOVA INC COM SEP 26 25 $630 (100 SHS) (Cash)",-GEV250926P630,"PUT (GEV) GE VERNOVA INC COM SEP 26 25 $630 (100 SHS)",Cash,-1,6.88,0.65,0.02,,687.33,309954.68,09/23/2025
09/22/2025,"YOU BOUGHT CLOSING TRANSACTION PUT (GEV) GE VERNOVA INC COM SEP 26 25 $590 (100 SHS) (Cash)",-GEV250926P590,"PUT (GEV) GE VERNOVA INC COM SEP 26 25 $590 (100 SHS)",Cash,2,0.93,1.3,0.05,,-187.35,309267.35,09/23/2025
09/22/2025,"YOU SOLD ASSIGNED CALLS AS OF 09-19-25 META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)",META,"META PLATFORMS INC CLASS A COMMON STOCK",Cash,-100,770,,,,77000,309454.70,09/22/2025
09/22/2025,"YOU SOLD ASSIGNED CALLS AS OF 09-19-25 AMAZON.COM INC (AMZN) (Cash)",AMZN,"AMAZON.COM INC",Cash,-100,230,,,,23000,232454.70,09/22/2025
09/19/2025,"YOU BOUGHT CLOSING TRANSACTION PUT (APP) APPLOVIN CORP COM CL SEP 26 25 $595 (100 SHS) (Cash)",-APP250926P595,"PUT (APP) APPLOVIN CORP COM CL SEP 26 25 $595 (100 SHS)",Cash,1,4.2,0.65,0.02,,-420.67,209454.70,09/22/2025
09/19/2025,"YOU SOLD OPENING TRANSACTION PUT (APP) APPLOVIN CORP COM CL SEP 26 25 $600 (100 SHS) (Cash)",-APP250926P600,"PUT (APP) APPLOVIN CORP COM CL SEP 26 25 $600 (100 SHS)",Cash,-1,8.25,0.65,0.02,,824.33,209875.37,09/22/2025
09/18/2025,"YOU BOUGHT CLOSING TRANSACTION PUT (GEV) GE VERNOVA INC COM SEP 19 25 $622.5 (100 SHS) (Cash)",-GEV250919P622.5,"PUT (GEV) GE VERNOVA INC COM SEP 19 25 $622.5 (100 SHS)",Cash,2,8.6,1.3,0.05,,-1721.35,209051.04,09/19/2025
09/18/2025,"YOU SOLD OPENING TRANSACTION CALL (PLTR) PALANTIR SEP 26 25 $180 (100 SHS) (Cash)",-PLTR250926C180,"CALL (PLTR) PALANTIR SEP 26 25 $180 (100 SHS)",Cash,-5,2.61,3.25,0.12,,1301.63,210772.39,09/19/2025
09/18/2025,"YOU SOLD OPENING TRANSACTION PUT (GEV) GE VERNOVA INC COM SEP 26 25 $590 (100 SHS) (Cash)",-GEV250926P590,"PUT (GEV) GE VERNOVA INC COM SEP 26 25 $590 (100 SHS)",Cash,-2,5.96,1.3,0.05,,1190.65,209470.76,09/19/2025
09/17/2025,"YOU SOLD OPENING TRANSACTION CALL (CAVA) CAVA GROUP INC COM SEP 26 25 $67 (100 SHS) (Cash)",-CAVA250926C67,"CALL (CAVA) CAVA GROUP INC COM SEP 26 25 $67 (100 SHS)",Cash,-1,0.72,0.65,0.02,,71.33,208280.11,09/18/2025
09/17/2025,"YOU SOLD OPENING TRANSACTION PUT (APP) APPLOVIN CORP COM CL SEP 26 25 $595 (100 SHS) (Cash)",-APP250926P595,"PUT (APP) APPLOVIN CORP COM CL SEP 26 25 $595 (100 SHS)",Cash,-1,15.07,0.65,0.02,,1506.33,208208.78,09/18/2025
